OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount
12,2025-02-27,13,20,8,599,0.05
113,2025-02-15,9,25,7,12499,0.05
186,2025-02-11,15,11,4,15499,0
187,2025-02-23,8,25,7,12499,0
199,2025-02-06,14,5,4,799,0.15
207,2025-02-20,19,12,5,18999,0.05
298,2025-02-02,30,10,7,10999,0.15
356,2025-02-23,19,2,3,52999,0.2
389,2025-02-25,28,20,7,599,0
444,2025-02-24,8,15,5,24999,0.1
450,2025-02-04,14,23,8,8499,0
463,2025-02-05,29,13,8,5499,0.15
464,2025-02-08,3,22,3,3999,0.1
478,2025-02-19,26,17,6,299,0.15
546,2025-02-09,9,26,7,1899,0.1
559,2025-02-05,13,15,3,24999,0.1
579,2025-02-24,14,6,8,2999,0
600,2025-02-07,15,3,2,21999,0.15
650,2025-02-23,30,5,3,799,0
692,2025-02-22,26,23,6,8499,0.2
708,2025-02-04,23,22,7,3999,0
829,2025-02-02,27,11,3,15499,0
874,2025-02-20,13,14,6,4699,0
904,2025-02-20,13,22,1,3999,0.2
953,2025-02-13,13,5,2,799,0
989,2025-02-22,21,26,4,1899,0
1117,2025-02-22,2,10,1,10999,0.1
1142,2025-02-18,17,23,2,8499,0.1
1151,2025-02-21,17,22,4,3999,0.15
1184,2025-02-14,18,13,1,5499,0
1241,2025-02-24,2,3,7,21999,0.15
1269,2025-02-22,13,13,7,5499,0
