OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount
62,2023-08-18,3,23,3,8499,0
75,2023-08-25,29,9,3,5999,0.05
93,2023-08-07,25,14,4,4699,0
119,2023-08-23,25,6,5,2999,0
217,2023-08-24,15,3,3,21999,0
224,2023-08-27,5,2,1,52999,0.05
237,2023-08-14,22,1,3,65999,0
248,2023-08-23,28,21,4,499,0.15
258,2023-08-10,12,18,6,1599,0
278,2023-08-24,13,1,6,65999,0
328,2023-08-16,25,10,4,10999,0.05
408,2023-08-13,14,19,5,449,0
436,2023-08-08,30,11,5,15499,0.2
448,2023-08-29,21,10,6,10999,0
465,2023-08-31,6,18,7,1599,0
508,2023-08-08,30,4,3,11999,0
547,2023-08-22,30,19,4,449,0
573,2023-08-22,9,22,8,3999,0.1
588,2023-08-22,9,25,6,12499,0
648,2023-08-25,8,24,1,7499,0
662,2023-08-01,7,17,4,299,0.15
671,2023-08-05,6,15,8,24999,0.1
707,2023-08-16,28,17,6,299,0
790,2023-08-30,16,2,2,52999,0.2
812,2023-08-10,21,1,1,65999,0
817,2023-08-22,26,4,8,11999,0
833,2023-08-01,14,19,8,449,0.2
853,2023-08-06,2,6,8,2999,0
867,2023-08-25,25,12,8,18999,0.15
895,2023-08-01,7,18,7,1599,0
912,2023-08-23,6,22,1,3999,0.2
943,2023-08-31,22,8,7,6999,0.1
944,2023-08-21,16,22,8,3999,0.2
997,2023-08-07,4,3,8,21999,0
1134,2023-08-16,10,15,8,24999,0
1207,2023-08-30,24,7,7,14999,0.15
1211,2023-08-22,22,11,6,15499,0.15
1221,2023-08-28,28,26,5,1899,0.1
1249,2023-08-20,12,16,8,399,0
1257,2023-08-23,19,20,8,599,0.1
