OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount
15,2025-07-18,1,24,5,7499,0
51,2025-07-27,20,19,2,449,0
71,2025-07-31,12,10,4,10999,0
95,2025-07-23,5,26,8,1899,0.1
181,2025-07-24,18,5,7,799,0
185,2025-07-03,18,16,6,399,0.1
241,2025-07-07,25,12,2,18999,0.2
243,2025-07-27,21,1,1,65999,0.2
249,2025-07-13,29,8,7,6999,0.1
250,2025-07-17,13,14,2,4699,0.1
279,2025-07-31,27,23,6,8499,0
291,2025-07-14,2,2,6,52999,0.05
363,2025-07-14,6,23,8,8499,0
416,2025-07-30,30,18,6,1599,0.1
439,2025-07-28,21,9,3,5999,0
540,2025-07-26,4,5,5,799,0
587,2025-07-25,19,24,8,7499,0
603,2025-07-27,21,22,6,3999,0
646,2025-07-21,17,12,1,18999,0.2
656,2025-07-24,1,12,4,18999,0.05
665,2025-07-27,24,3,2,21999,0
669,2025-07-16,9,8,2,6999,0
673,2025-07-14,10,15,5,24999,0
678,2025-07-15,18,24,4,7499,0
717,2025-07-03,1,9,4,5999,0
722,2025-07-13,3,26,1,1899,0.05
743,2025-07-08,6,6,4,2999,0
851,2025-07-15,4,4,4,11999,0
858,2025-07-25,22,19,3,449,0.2
983,2025-07-20,30,13,1,5499,0.05
1052,2025-07-21,20,15,5,24999,0.2
1170,2025-07-26,29,8,7,6999,0.15
1173,2025-07-13,15,2,4,52999,0.15
1245,2025-07-22,10,22,8,3999,0.2
1248,2025-07-17,16,1,2,65999,0.2
1263,2025-07-04,7,7,6,14999,0.05
1276,2025-07-10,13,12,4,18999,0
1284,2025-07-18,17,16,6,399,0.15
