OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount
66,2024-12-25,25,18,7,1599,0
123,2024-12-12,18,14,6,4699,0
168,2024-12-13,14,11,6,15499,0
284,2024-12-20,24,21,3,499,0
290,2024-12-21,17,3,5,21999,0.2
336,2024-12-07,8,24,2,7499,0.1
375,2024-12-09,17,10,2,10999,0.05
422,2024-12-07,25,26,3,1899,0.05
533,2024-12-25,18,3,6,21999,0.15
563,2024-12-14,16,4,8,11999,0.2
575,2024-12-21,28,15,3,24999,0.05
591,2024-12-14,28,3,8,21999,0
621,2024-12-20,24,7,3,14999,0.15
660,2024-12-10,21,23,1,8499,0.1
701,2024-12-21,19,19,3,449,0
716,2024-12-11,11,6,2,2999,0.1
724,2024-12-01,6,13,3,5499,0
739,2024-12-05,26,18,7,1599,0
793,2024-12-02,14,19,8,449,0
803,2024-12-06,10,5,2,799,0.15
888,2024-12-09,15,8,4,6999,0
952,2024-12-02,30,15,2,24999,0
959,2024-12-18,19,26,2,1899,0.15
982,2024-12-12,27,9,4,5999,0
993,2024-12-25,7,19,5,449,0
1019,2024-12-05,1,14,2,4699,0.1
1021,2024-12-28,11,22,8,3999,0.2
1025,2024-12-04,8,11,6,15499,0.05
1057,2024-12-01,14,10,8,10999,0.1
1101,2024-12-22,29,11,6,15499,0.1
1147,2024-12-11,22,12,6,18999,0.05
1237,2024-12-18,18,11,5,15499,0
1285,2024-12-23,26,10,5,10999,0
